"laufkont","laufzeit","moral","verw","hoehe","sparkont","beszeit","rate","famges","buerge","wohnzeit","verm","alter","weitkred","wohn","bishkred","beruf","pers","telef","gastarb","kredit"
2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2,1
1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1
1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2,1
4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2,1
1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2,1
1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2,1
2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,2,1,2,1
4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2,1
4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,2,2,2,1
4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2,1
4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2,1
4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2,1
4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2,1
4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,2,1,2,0
1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,2,2,2,1
3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2,1
4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2,1
1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1,1
4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2,1
4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2,1
4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,2,2,2,1
2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2,1
4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2,1
4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2,1
4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2,1
4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2,1
2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,2,2,2,1
2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,2,2,2,0
4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,2,2,2,1
1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,2,1,2,1
4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,2,2,2,1
1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,2,2,2,0
4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,2,2,2,1
4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,2,2,2,1
4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,2,1,2,1
4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,2,2,2,1
4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,2,2,2,1
4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,2,1,2,1
4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,2,1,2,1
2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,2,2,2,1
1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,2,2,2,1
2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,2,2,2,1
1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,2,1,2,1
2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,2,1,2,0
4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,2,2,2,1
4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,2,2,2,1
3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,2,1,2,1
3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,2,1,2,1
4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,2,2,2,1
4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,2,2,2,1
4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,2,2,2,1
4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,2,2,2,1
4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,2,2,2,1
4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,2,1,2,1
4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,2,1,2,1
3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,2,1,2,1
1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,2,1,1,1
2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,2,2,2,1
3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,1,1,1,1
1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2,1
1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2,1
3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,1,1,2,1
3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,2,1,1,1
4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,2,1,1,1
1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,2,2,2,1
1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,2,1,2,1
4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,2,1,2,1
4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,2,1,2,1
2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,2,1,2,1
