"laufkont","laufzeit","moral","verw","hoehe","sparkont","beszeit","rate","famges","buerge","wohnzeit","verm","alter","weitkred","wohn","bishkred","beruf","pers","telef","gastarb","kredit"
0,0.24999999999999997,1,0.2,0.04259422525898171,0,0.25,1,0.3333333333333333,0,1,0.3333333333333333,0.035714285714285754,1,0,0,0.6666666666666667,1,0,1,1
0,0.08928571428571427,1,0,0.13902358386599073,0,0.5,0.3333333333333333,0.6666666666666667,0,0.3333333333333333,0,0.30357142857142855,1,0,0.3333333333333333,0.6666666666666667,0,0,1,1
0,0.14285714285714285,1,0,0.1017191977077364,0,0.5,0.6666666666666667,0.6666666666666667,0,0.3333333333333333,0,0.35714285714285715,1,0,0.3333333333333333,0.3333333333333333,0,0,0,1
0,0.14285714285714285,1,0,0.10441921974873265,0,0.5,1,0.6666666666666667,0,1,0.3333333333333333,0.33928571428571425,0,0.5,0.3333333333333333,0.3333333333333333,1,0,0,1
0,0.10714285714285712,1,0,0.10827639409301301,0,0.25,0,0.6666666666666667,0,0.6666666666666667,0,0.5178571428571428,1,0,0.3333333333333333,0.3333333333333333,0,0,0,1
0,0.07142857142857142,1,0,0.17202997575490414,0,0.75,0,0.6666666666666667,0,1,0,0.35714285714285715,1,0.5,0.3333333333333333,0.3333333333333333,1,0,0,1
0,0.03571428571428571,1,0,0.0597862023363456,0,0.25,0.3333333333333333,0.6666666666666667,0,1,0,0.37499999999999994,1,0.5,0,0.3333333333333333,0,0,0,1
1,0.24999999999999997,1,0.30000000000000004,0.04529424729997796,0,0,1,0.3333333333333333,0,1,0.6666666666666667,0.8214285714285714,1,0.5,0.3333333333333333,0,1,0,1,1
0.3333333333333333,0.3571428571428571,0.5,0.30000000000000004,0.19186687238263173,0.5,0,0,0.3333333333333333,0,1,1,0.07142857142857145,1,0,0,0,1,0,1,1
0,0.4642857142857143,1,0.1,0.32571082212916025,0.25,0.75,0,1,0,1,0.6666666666666667,0.0892857142857143,1,0,0.3333333333333333,0.6666666666666667,1,0,1,1
0,0.03571428571428571,1,0.30000000000000004,0.09262728675336125,0,0.75,0,0.3333333333333333,0,1,0.6666666666666667,0.21428571428571425,1,0.5,0,0.6666666666666667,1,0,1,1
0.3333333333333333,0.7857142857142857,0.75,1,0.4025787965616046,0.25,0,0.3333333333333333,0.6666666666666667,0,1,1,0.21428571428571425,1,0.5,0,1,1,1,1,1
0,0.24999999999999997,0.5,0.30000000000000004,0.09147013445007715,1,0.75,0.3333333333333333,1,0,1,0.6666666666666667,0.07142857142857145,1,0,0.3333333333333333,0.3333333333333333,1,0,1,1
0,0.125,1,0,0.20184042318712808,0,0.5,0,0.6666666666666667,0,0.3333333333333333,0,0.37499999999999994,1,0.5,0.3333333333333333,0.3333333333333333,0,0,1,1
0.3333333333333333,0.24999999999999997,0.5,0.30000000000000004,0.16183601498787747,0.5,0.25,0,1,0,0.6666666666666667,0,0.10714285714285715,1,0,0,0.6666666666666667,1,0,1,1
0.3333333333333333,0.5714285714285714,1,0.30000000000000004,0.11356623319374036,0,1,1,0.6666666666666667,0,1,0,0.30357142857142855,1,0.5,0,0.6666666666666667,1,0,1,1
0,0.03571428571428571,1,0,0.1873484681507604,0,0.5,0,0.6666666666666667,0,0.6666666666666667,0,0.32142857142857145,1,0,0.6666666666666667,0.6666666666666667,0,0,1,1
0.3333333333333333,0.14285714285714285,1,0,0.15693189332157814,0,0.25,0,0.6666666666666667,0,0.6666666666666667,0,0.5357142857142858,0,0.5,0.3333333333333333,0.3333333333333333,0,0,1,1
0.3333333333333333,0.5714285714285714,0.5,0.5,0.11615605025347146,0,0.25,1,0.6666666666666667,0,0,1,0.25000000000000006,1,0,0,0.3333333333333333,1,0,1,0
0.3333333333333333,0.14285714285714285,1,0.4,0.06325765924619793,0,0.75,1,0.6666666666666667,0,0.6666666666666667,0.3333333333333333,0.125,1,0.5,0,0.6666666666666667,1,0,1,1
0.3333333333333333,0.125,0.75,0.30000000000000004,0.24768569539343183,0,0.75,0.3333333333333333,0.6666666666666667,0,1,0.3333333333333333,0.5714285714285714,1,0.5,0,0.6666666666666667,1,0,1,1
0.6666666666666667,0.6785714285714286,1,0.1,0.2490632576592462,0,1,1,0.6666666666666667,0,1,1,0.6607142857142858,1,1,0,0.6666666666666667,1,0,1,1
0.6666666666666667,0.4642857142857143,1,0.30000000000000004,0.15103592682389244,0,1,1,0.6666666666666667,0,1,0.3333333333333333,0.49999999999999994,1,0.5,0,0.6666666666666667,1,0,1,1
1,0.5714285714285714,1,0,0.3492395856292705,0,1,1,0.6666666666666667,0,1,0.6666666666666667,0.26785714285714285,1,0.5,0.3333333333333333,1,1,1,1,1
0,0.19642857142857142,0.5,0,0.07962309896407319,0,0.25,0.3333333333333333,0.6666666666666667,0,0.6666666666666667,0,0.30357142857142855,1,0.5,0,0.6666666666666667,1,0,1,1
0,0.03571428571428571,1,0,0.032179854529424734,0,1,0,0.3333333333333333,0,1,1,0.35714285714285715,1,0.5,0.3333333333333333,0.6666666666666667,1,1,1,1
1,0.14285714285714285,1,0,0.06716993608111087,0,1,1,0.6666666666666667,0,0,0,0.33928571428571425,1,0.5,0.3333333333333333,0.3333333333333333,0,0,1,1
1,0.24999999999999997,0.5,0.1,0.1709279259422526,1,0.5,0.3333333333333333,0.6666666666666667,0,0,0.3333333333333333,0.21428571428571425,1,0.5,0,0.6666666666666667,1,1,1,1
1,0.14285714285714285,1,0.5,0.03967379325545515,1,0.75,1,0.3333333333333333,0,1,0,0.07142857142857145,1,0.5,0.3333333333333333,0.6666666666666667,1,0,1,1
0,0.3571428571428571,0.5,1,0.08149658364558078,0,1,1,0.3333333333333333,1,1,0,0.6964285714285714,1,0.5,0,0.3333333333333333,1,1,1,1
0.3333333333333333,0.3571428571428571,1,0.9,0.14045624862243772,1,0.75,1,0.6666666666666667,0,0.6666666666666667,1,0.26785714285714285,1,0.5,0.3333333333333333,0.6666666666666667,0,1,1,1
0.3333333333333333,0.24999999999999997,0.5,0.6000000000000001,0.053063698479171265,1,0.5,1,0.6666666666666667,0,1,1,0.75,1,1,0,0.6666666666666667,1,0,1,1
0,0.24999999999999997,0.5,0,0.051796341194621995,0,0.25,1,0.3333333333333333,0,0.6666666666666667,0.6666666666666667,0.07142857142857145,1,0,0,0.6666666666666667,1,1,1,0
1,0.3571428571428571,0.5,0.9,0.05411064580119021,0,0.75,1,0.6666666666666667,0,0,0,0.10714285714285715,1,0.5,0,0.6666666666666667,1,1,1,1
1,0.3571428571428571,0.5,0,0.06601278377782677,0.25,0.25,1,1,0,0.6666666666666667,0,0.25000000000000006,1,0.5,0,0.6666666666666667,1,1,1,1
1,0.14285714285714285,0.5,0,0.02005730659025788,0,0.5,1,0,0,0.3333333333333333,0,0.5357142857142858,1,0.5,0,0.3333333333333333,1,0,1,1
